"Symbol","Name","last","change","changepercent","open","high","low","bid","ask","vwap","sharevolume","dividend yield","beta","marketcap","sharesoutstanding","eps","peratio","pbratio","week52high","week52low","week52highvwap","week52lowvwap","week52highvol","week52lowvol","week52avgvol"
"RY","Royal Bank of Canada",112.57,2.69,2.448125,110.79,112.68,110.15,112.3,112.59,111.999004,4863410,3.838,0.8205299973487854,160395735531,1424357080,8.09000015,13.6,1.934,113.39,72,112.2351,74.4193,14465101,619843,4525955
"TD","Toronto-Dominion Bank",79.51,1.16,1.480536,78.9,79.54,78.4,79.51,79.55,79.1266615,9189091,3.974,0.8902729749679565,144390160000,1818465737,6.57999992,11.9,1.608,79.95,49.01,79.3083,50.1794,22112787,1482688,6165425
"CNR","Canadian National Railway Company",141.92,4.05,2.93755,139.12,142.4,138.3,141.5,142.3,141.506006,2259873,1.733,0.6102889776229858,100805776000,711675952,5.01999998,28.2,5.129,149.11,92.02,147.9071,96.8899,6374902,161568,1460493
"BNS","Bank of Nova Scotia",77.43,1.16,1.520913,76.91,77.61,76.81,77.4,77.59,77.3407843,3628845,4.649,0.9098830223083496,93879848640,1212695318,5.44000005,14.1,1.481,77.62,46.39,77.3408,47.4975,15442568,988310,4787775
"ENB","Enbridge Inc.",44.83,0.24,0.538237,44.96,45.185,44.5,44.78,44.87,44.8506405,11125889,7.45,0.9505410194396973,90802967882,2025544556,1.48000001,29.9,1.694,51.94,33.07,51.5375,34.7006,31432706,621747,8253404
"BAM.A","Brookfield Asset Management Inc. Class A Limited Voting Shares",52.66,0.93,1.797796,52.15,52.945,51.58,52.5,52.79,52.4243515,1606254,1.254,1.3220020532608032,79497416699,1575876548,-0.209999993,-251.8,1.975,56.15,31.35,55.6678,33.6425,11798648,325625,2297581
"BMO","Bank of Montreal",108.11,1.56,1.464101,107.55,108.6,107.36,107.94,108.15,107.976741,2394636,3.922,1.1817950010299683,69933133646,646949486,8.30000019,12.9,1.39,108.6,55.76,107.9765,57.9302,11609715,384729,3239728
"CNU","CNOOC Limited american depositary receipts",150,9,6.382979,150,150,150,141,175,150,125,3.997,1.6089580059051514,66971183850,2855284,0.170000001,8.6,0.773,165.56,110,165.02,110.2675,3660,1,156
"CP","Canadian Pacific Railway Limited",459.1,14.16,3.182451,450.13,459.63,442.94,456,459.11,454.300976,277112,0.828,0.7086600065231323,61196761048,133284501,18.0499992,25.6,8.361,482.74,252,477.6583,263.514,1627816,34625,331857
"NGT","Newmont Corporation",71.7,1.41,2.005975,70.4,72.11,69.87,71.5,72.05,71.152086,191282,3.9,0.15313099324703217,57382529789,801328947,5.07000017,15.7,1.964,96.45,44,95.4974,55.3965,686572,15772,152778
"CM","Canadian Imperial Bank Of Commerce",122.52,1.3,1.07243,122.01,123.13,121.6,122.41,122.68,122.518358,3608277,4.767,0.9764019846916199,54870533605,447872661,9.15999984,13.1,1.437,123.13,67.52,122.5184,70.1815,7850657,575737,2324489
"TRI","Thomson Reuters Corporation",109.32,0.12,0.10989,109.69,110.255,108.25,109.11,109.34,109.273726,619935,1.869,0.29830101132392883,54141300869,495255222,2.97000002,37.8,4.272,115.67,75.92,112.8037,77.8143,3020106,102197,570669
"TRP","TC Energy Corporation",56.94,0.84,1.497326,56.7,57.24,56.16,56.88,57.08,56.8006326,3908670,6.112,0.7083989977836609,53527246551,978019135,4.73000001,11.6,1.952,74.06,47.05,73.1756,49.33,26916259,287304,3599344
"MFC","Manulife Financial Corporation",26.79,1.02,3.958091,25.99,26.83,25.97,26.75,26.82,26.5992692,10669271,4.181,1.2866460084915161,51984888278,1941257811,2.93000006,8.9,1.089,26.83,12.58,26.5993,13.1471,28487468,817243,7882719
"BCE","BCE Inc.",56.93,1.21,2.171572,55.82,57.09,55.81,56.92,57,56.4553256,9038102,6.148,0.26212000846862793,51487492000,904424391,2.75999999,20.1,3.031,63.91,46.03,62.8921,47.9413,11474982,416850,3053123
"CNQ","Canadian Natural Resources Limited",39.28,0.92,2.398332,39.18,40.41,38.65,39.21,39.35,39.3724818,6969011,4.786,2.277254104614258,46391958240,1185569495,-0.479999989,-75.4,1.443,40.41,9.81,39.3726,10.851,36099039,884382,7615621
"ATD.A","Alimentation Couche-Tard Inc. Class A Multiple Voting Shares",40.58,0.69,1.729757,39.93,40.71,39.92,40.45,40.6,40.398666,35164,0.862,0.8133900165557861,45163440715,253803700,3.3499999,11.4,2.984,47.57,30.57,47.1013,32.3281,484642,1490,23616
"ATD.B","Alimentation Couche-Tard Inc. Class B Subordinate Voting Shares",40.33,0.6,1.510194,39.67,40.54,39.64,40.3,40.42,40.1891279,2885106,0.843,0.828125,44885203648,845218046,3.47000002,11.3,2.965,47.5,30.4,47.0927,32.0996,25163394,375864,2236115
"ABX","Barrick Gold Corporation",25.11,0.35,1.41357,24.83,25.15,24.37,25.03,25.12,24.8702497,4188301,1.821,0.05550599843263626,44650348238,1778189894,1.69000005,14.8,1.506,41.1,17.53,40.0148,21.7346,20832708,678616,5184875
"SU","Suncor Energy Inc.",27.82,0.93,3.458535,27.6,28.33,27.58,27.82,27.88,27.9141487,17130831,3.019,1.975680947303772,42358242201,1525150794,-2.82999992,-9.2,1.185,35.55,14.03,34.8822,14.8131,34863477,1246989,10390306
"NTR","Nutrien Ltd.",69.03,1.65,2.448798,68.26,69.37,67.05,68.7,69.12,68.5955356,1063396,3.385,0.7372009754180908,39332628068,569368963,1.05999994,66.2,1.385,73.24,34.8,71.8056,36.5696,8684425,233469,1627251
"SLF","Sun Life Financial Inc.",63.07,0.67,1.073718,62.66,63.48,62.43,63,63.15,63.0667988,5416414,3.488,1.0122729539871216,36904136486,585129800,4.11000013,15.4,1.508,63.96,35.44,63.2698,36.1232,25162437,218510,2281994
"CSU","Constellation Software Inc.",1671.09,47.94,2.953516,1635.5,1695.58,1614.78,1655.72,1675.61,1659.44756,42136,0.304,0.6768180131912231,35412953868,21191530,26.6100006,62.8,26.665,1789.63,1076.34,1766.154,1130.152,238111,8781,49363
"T","TELUS Corporation",26.36,0.51,1.972921,25.94,26.48,25.94,26.35,26.45,26.3047617,3383031,4.722,0.5293869972229004,34188920000,1297494021,0.949999988,27.4,2.831,27.55,18.55,27.3137,20.2675,11199787,487628,2761052
"WCN","Waste Connections Inc.",128.72,2.63,2.085812,126.47,128.91,125.65,128.05,128.83,127.823903,392827,0.81,0.6332659721374512,33754641028,262699256,2.94000005,124,3.876,143.84,100.56,142.7331,104.6238,1811585,48184,395500
"MG","Magna International Inc.",111.01,3.22,2.98729,109.35,111.35,104.57,110.48,111.34,108.478026,1228041,1.965,1.5638339519500732,33361548450,302015357,3.21000003,34,2.311,113.31,33.23,111.9577,35.6427,3739620,121606,1005962
"RCI.A","Rogers Communications Inc. Class A Shares",60.5,1.5,2.542373,59.41,60.51,59.41,58.45,62,60.0512568,18651,3.306,0.1687999963760376,30547981739,111154811,3.18000006,18.9,3.191,65.75,50,65.4515,51.6076,18651,20,1624
"RCI.B","Rogers Communications Inc. Class B Non-voting Shares",59.71,2.47,4.315164,57.31,59.85,57.31,59.19,59.79,59.2991254,3631449,3.35,0.2958590090274811,30149090738,393770507,3.15000009,17.9,3.149,65.98,46.82,64.4876,49.4888,5234460,180381,1217504
"GWO","Great-West Lifeco Inc.",31.54,-0.28,-0.87995,32.07,32.07,31.43,31.49,31.55,31.7694999,1695342,5.555,0.8503829836845398,29267273522,927995256,3.17000007,10.2,1.373,33.85,18.88,33.2921,19.842,22727330,201373,1280107
"QSP.UN","Restaurant Brands International Limited Partnership",79.43,0,0,,,,78.54,82.82,79.43,0,3.39,1.255223035812378,28365994339,155113338,2.10999989,35.8,6.008,81.02,37.8,81.01,40.4199,136690,1,2487
"NA","National Bank of Canada",83.51,0.52,0.626581,83.69,83.86,82.13,83.5,83.51,83.3800774,1730566,3.401,1.1356730461120605,28124905663,336772276,5.73000001,14.2,2.094,83.88,38.67,83.3801,40.2826,7381546,307801,1665598
"FNV","Franco-Nevada Corporation",138.65,1.26,0.917097,137.24,138.94,134.76,138.35,138.88,137.350772,426047,0.953,0.42903900146484375,26458820196,190956476,1.77999997,79,3.992,222.15,105.93,219.1589,124.7868,2542797,64022,557831
"GIB.A","CGI Inc. Class A Subordinate Voting Shares",97.01,1.26,1.315927,96.11,97.83,95.66,96.71,97.5,96.8633136,697601,,1.0133370161056519,24618890375,220257286,4.51999998,21.8,3.432,104.38,67.24,103.7962,69.1994,3490205,96790,637345
"QSR","Restaurant Brands International Inc.",79.06,-0.3,-0.378024,79.11,79.51,77.79,78.82,79.23,78.6429842,778496,3.405,1.280344009399414,23964134257,303520955,2.46000003,31.8,-20.642,82.13,36.48,81.4129,41.3489,3648337,105409,971740
"FTS","Fortis Inc.",50.21,0.14,0.279609,50.06,50.39,49.82,50.2,50.21,50.1802827,2054130,4.023,0.05821499973535538,23438028000,466770392,2.5999999,19.2,1.373,58.82,41.53,58.2788,43.6995,7595941,234992,1898268
"POW.PR.E","Power Corporation of Canada Participating Preferred Shares",33.25,0,0,,,,30.5,33.5,,0,5.383,0.22383199632167816,22526588186,54860866,,13.2,1.102,35,30,34.8612,30,1100,20,24
"L","Loblaw Companies Limited",64.7,0.75,1.172791,64.13,64.94,63.8,64.51,64.84,64.5736532,969992,2.071,-0.1212719976902008,22474287756,347361480,3.07999992,20.4,2.087,77,59.01,75.1808,60.7691,3783877,187814,745485
"IMO","Imperial Oil Limited",30,0.82,2.810144,29.7,30.36,29.4,29.9,30.05,29.9479286,1440272,2.933,2.1095919609069824,22022302650,737507812,-2.52999997,-11.1,1.028,30.37,10.28,29.948,11.0751,6073904,160457,1591038
"IFC","Intact Financial Corporation",149.85,3.08,2.098521,147.27,149.98,146.65,149.5,149.99,149.262476,352162,2.216,0.6755759716033936,21431267380,143018134,7.1999998,20.3,2.549,157.75,104.81,156.3971,108.4079,1315659,53758,349744
"POW","Power Corporation of Canada Subordinate Voting Shares",31.26,0.07,0.224431,31.22,31.59,31.065,31.26,31.31,31.3011249,2759577,5.726,0.9895650148391724,21178380351,622610508,2.51999998,12.5,1.036,31.99,17.47,31.6567,18.0622,13884793,394908,2318649
"CVE","Cenovus Energy Inc.",10.4,0.44,4.417671,10.2,10.55,10.11,10.35,10.4,10.3075576,10298045,0.673,3.8202109336853027,20980834222,2017312315,-1.94000005,-5.4,1.256,10.56,2.06,10.3076,2.343,32766411,1233944,7665820
"WPM","Wheaton Precious Metals Corp.",45.86,0.7,1.550044,45.3,45.94,44.41,45.79,45.97,45.3142407,840923,1.361,0.3138279914855957,20604002629,449458394,1.28999996,36.2,2.881,76.7,26.99,75.1363,33.0203,8936003,143485,1357531
"BPY.UN","Brookfield Property Partners L.P.",21.93,0.26,1.199815,21.67,22,21.54,21.85,21.96,21.8128367,732695,7.754,1.618319034576416,20377746771,436018529,-3.13000011,-7,0.622,23.4,10.06,23.1595,10.5279,8348034,332278,1380634
"PPL","Pembina Pipeline Corporation",36.21,1.32,3.783319,35.35,36.3,35.28,36.13,36.22,35.981674,3023100,6.959,1.726402997970581,19913667195,549946917,-0.850000023,-42.6,1.658,48.55,15.28,47.9294,18.1935,12423590,276620,2650415
"BIP.UN","Brookfield Infrastructure Partners L.P.",65.38,0.82,1.270136,64.59,65.93,64.46,65.12,65.61,65.3681951,297131,3.99,0.8272640109062195,19315212550,295450304,0.419999986,152.7,2.827,71.28,37.46,70.763,42.1991,2297116,53613,441286
"FM","First Quantum Minerals Ltd.",26.92,0.83,3.181296,26.8,26.97,24.96,26.89,26.92,26.2452814,2902178,0.037,2.276634931564331,18524432680,690366726,-0.360000014,-78.5,1.644,31.57,4.72,30.7614,4.9984,15249774,562338,3189927
"NCM","Newcrest Mining Limited",22.4,-0.66,-2.862099,23.06,23.15,22.4,20.01,26.75,22.9175,480,1.701,-0.921218991279602,18290866362,816556534,,,1.52,31.25,22.4,31.114,22.9175,5650,11,236
"AEM","Agnico Eagle Mines Limited",72.38,1.08,1.514727,71.99,72.49,70.46,72.35,72.49,71.6156073,707289,2.456,0.6878809928894043,17610140494,243464406,2.77999997,26,2.445,117.35,43.25,114.199,51.5886,3211689,142682,850062
"TECK.A","Teck Resources Limited Class A Multiple Voting Shares",31.5,-0.25,-0.787402,32,33.35,30.5,31.25,33.5,31.4228571,7855,0.635,1.2560410499572754,16713900000,7765503,-3.46000003,-19.9,0.834,34.75,9,33.5386,10.9982,33370,35,3916
"H","Hydro One Limited",27.34,0.39,1.447124,26.95,27.55,26.87,27.32,27.4,27.2695148,1072619,3.71,0.1443839967250824,16338706257,597611787,2.96000003,9.2,1.551,30.57,20.25,30.3048,21.7907,4233319,129908,1062034
"CDAY","Ceridian HCM Holding Inc.",106.71,1.9,1.812804,106.72,107.16,99.3,105.76,107.16,103.06501,43459,,1.2767119407653809,15878627166,146576497,0.709999978,-3490.8,5.958,142.17,55.09,139.9478,56.6787,82573,1830,21141
"OTEX","Open Text Corporation",57.36,0.93,1.648059,56.76,57.71,55.77,57.3,57.54,56.9565667,645590,1.796,0.8969209790229797,15647041785,272786642,0.419999986,137.2,3.079,64,42.3,62.9991,43.3515,2807981,90826,669888
"DOL","Dollarama Inc.",49.88,0.68,1.382114,49.28,49.99,48.99,49.79,49.95,49.6384608,652468,0.377,0.9204649925231934,15521695162,310266429,1.83000004,27.3,59.381,55.46,34.71,54.952,35.7083,3342650,129815,856351
"WN","George Weston Limited",99.71,0.34,0.342156,99.83,100.43,99.23,99.58,100.07,99.9638563,283953,2.206,0.2634679973125458,15322491837,152374416,6.92999982,13.9,2.178,108.89,84.02,107.7269,87.3423,1446597,49552,223453
"SAP","Saputo Inc.",36.81,0.71,1.966759,36.28,37.05,36.075,36.7,36.88,36.7330268,351747,1.902,0.5664029717445374,15105801970,410959740,1.5,23.9,2.334,37.92,29.31,37.5865,30.0948,2470566,131773,490419
"WEED","Canopy Growth Corporation",39.45,0.16,0.407228,39.57,39.95,35.56,39.34,39.49,38.1019499,1781665,,2.096311092376709,15010257478,375835246,-6.57000017,-6.8,3.793,71.6,12.96,66.6189,13.9649,7219644,355166,1962688
"BHC","Bausch Health Companies Inc.",41.79,1.39,3.440594,40.87,41.92,39.2,41.76,41.89,40.9290952,1066257,,1.2242889404296875,14861352529,355158914,-2.06999993,-19.7,21.88,41.92,16.3,41.0298,18.1374,4499479,74076,756602
"TECK.B","Teck Resources Limited Class B Subordinate Voting Shares",27.01,0.87,3.328233,26.72,27.11,25.67,26.99,27.04,26.563224,2258031,0.74,1.4482749700546265,14331506000,523420280,-1.61000001,-16.6,0.715,29.81,8.15,29.3171,9.0241,8477617,414015,2664124
"FFH","Fairfax Financial Holdings Limited Subordinate Voting Shares",517.16,-1.41,-0.271902,518.57,522.555,509.88,517.05,519,517.246072,57484,2.472,1.0227819681167603,13537441843,27124093,4.78999996,110.1,0.853,565.22,319.37,557.7577,326.0242,408664,19075,94949
"BEP.UN","Brookfield Renewable Partners L.P.",49.13,-2.22,-4.323272,51.29,51.29,47.87,49.08,49.47,49.2442482,923008,3.087,0.6998389959335327,13502811869,274838276,-0.730000019,-67.6,2.186,63.39,29.17,62.3455,30.9459,1540500,86940,410769
"MRU","Metro Inc.",54.33,0.47,0.872633,53.9,54.63,53.9,54.32,54.42,54.3067977,777217,1.841,-0.1661749929189682,13495463340,248100486,3.25,16.5,2.176,66.25,49.03,65.2863,50.3197,2842113,76653,700398
"WSP","WSP Global Inc.",118.69,0.98,0.832555,118.31,118.88,114.48,118.46,119,117.554906,289344,1.264,0.9593750238418579,13442398674,113757398,2.49,47.7,3.302,127.54,59.84,126.0338,61.7545,939163,48277,214191
"GFL","GFL Environmental Inc. subordinate voting shares",40,-0.65,-1.599016,41.25,41.45,39.2,39.55,40.1,40.0087863,207967,0.126,1.917544960975647,13054535400,314300421,,-14.7,2.299,42.5,16.86,42.0547,17.4687,12688032,9797,294241
"EMA","Emera Incorporated",51.43,0.24,0.468842,51.06,51.59,50.88,51.4,51.51,51.3679038,616600,4.958,0.21879899501800537,12931044900,252685229,3.79999995,13.6,1.577,60.85,42.12,59.8735,44.2457,4173840,123394,1134010
"TPX.B","Molson Coors Canada Inc. Class B Exchangeable Shares",59.49,2.56,4.49675,58.01,59.5,57.99,58.06,59.5,58.6762264,5636,,0.9868019819259644,12896273254,11104594,-5.59000015,-10.3,0.821,71.77,43.39,70.9505,43.7579,270133,126,5950
"TPX.A","Molson Coors Canada Inc. Class A Exchangeable Shares",58.75,0.76,1.310571,58.75,58.75,58.75,58.85,63,58.75,300,,0.8663070201873779,12735855668,2718267,6.32000017,-10.6,0.811,73.38,45,73.38,45,3335,1,233
"CCL.B","CCL Industries Inc. Unlimited Class B Non-Voting Shares",69.04,2.34,3.508246,66.72,69.78,66.7,68.42,69.36,68.5660891,385459,1.043,0.6955100297927856,12371968000,167431711,,22.7,3.769,69.78,34.57,68.567,35.3858,1596524,79281,335170
"CCL.A","CCL Industries Inc. Unlimited Class A Voting Shares",68.79,2,2.99446,67.29,68.99,67.29,68.99,70,68.5699995,600,1.032,0.6706410050392151,12327168000,11822137,2.96000003,22.7,3.755,68.99,35,68.57,35.615,4995,5,375
"CTC","Canadian Tire Corporation Limited",202.54,0.54,0.267327,202.54,202.54,202.54,202.5,208,202.54,332,2.321,0.4431670010089874,12315874895,3423366,11.2600002,16.3,2.737,240,140,224.99,169.495,3613,7,592
"SJR.B","Shaw Communications Inc. Class B Non-voting Shares",23.75,0.93,4.075373,22.79,23.81,22.79,23.6,23.77,23.5143625,1757028,4.989,0.4364809989929199,12035524873,481057075,1.32000005,17.1,1.952,25.48,17.78,25.2808,18.3261,13905066,220139,1500672
"KL","Kirkland Lake Gold Ltd.",43.34,0.67,1.57019,42.81,43.46,41.94,43.08,43.49,42.8258619,953358,2.198,0.7450330257415771,11572810495,267023777,3.77999997,11.3,1.792,76.44,25.67,74.4891,33.2445,4429671,205572,1277335
"AQN","Algonquin Power & Utilities Corp.",19.23,-0.35,-1.787538,19.66,19.68,18.95,19.22,19.29,19.1667989,2932565,4.091,0.20590099692344666,11512610227,598651587,1.09000003,17.6,1.995,22.67,13.85,22.477,14.813,21885712,293584,2255935
"CAE","CAE Inc.",38.7,1.35,3.614458,37.33,38.72,36.75,38.01,38.71,37.6793953,1052528,,2.1110401153564453,10942842109,282820453,0.029999999,1229,3.933,38.96,14.27,37.7894,14.9907,2795154,265061,943339
"FFH.U","Fairfax Financial Holdings Limited Subordinate Voting Shares (quoted in US funds)",409.82,0.73,0.178445,409.82,409.82,409.82,407.6,413,409.82,600,2.44,1.3508800268173218,10727655689,27124093,14.4300003,55.2,0.857,417,244.75,415.375,244.75,3300,1,84
"LUN","Lundin Mining Corporation",14.39,0.52,3.749099,14.16,14.4,13.8,14.29,14.4,14.1199076,1688131,1.668,1.8255510330200195,10611262713,736208283,0.280000001,51,2.101,15.42,4.08,15.1253,4.2199,8498247,352440,2355253
"K","Kinross Gold Corporation",8.31,0.15,1.838235,8.17,8.33,8.1,8.29,8.31,8.23327071,4025612,1.834,1.0300829410552979,10457304000,1258339470,1.38999998,5.9,1.252,13.6,4,13.2276,5.0962,22059898,734619,5689905
"WFG","West Fraser Timber Co. Ltd.",82.45,2.22,2.767045,80.99,82.5,78.3,82.4,82.5,80.8846488,653052,0.97,2.323884963989258,10154841706,120882157,11.3000001,7.1,3.218,99.88,21.61,95.1754,22.6155,5308591,78882,527136
"CTC.A","Canadian Tire Corporation Limited Class A Non-Voting Shares",162.76,0.96,0.593325,163.52,165.04,161.88,162.51,163.43,163.115312,384746,2.888,1.3482580184936523,9896967502,57383758,12.3500003,13.4,2.2,183.9,67.16,180.3415,72.6367,2041317,46724,381499
"EMP.A","Empire Company Limited Non-Voting Class A Shares",36.03,0.43,1.207865,35.59,36.34,35.59,35.91,36.19,36.0337976,630090,1.443,0.18729400634765625,9696001486,169112691,2.42000007,14.8,2.311,40.87,23.88,40.1959,24.6942,2335861,95715,598101
"IVN","Ivanhoe Mines Ltd.",7.8,0.22,2.902375,7.77,7.87,7.59,7.75,7.82,7.70337153,2608173,,2.1766750812530518,9389984861,1207031650,-0.009999999,-1078.4,3.083,8.27,1.8,8.1453,2.1805,3479078,245135,1188809
"L.PR.B","Loblaw Companies Limited Second Preferred Shares Series B",25.74,-0.01,-0.038835,25.73,25.75,25.73,25.63,25.96,25.7478571,1430,5.148,0.25606900453567505,9209409195,9000000,,,,27.99,20.99,26.2405,21.2957,251340,5,5496
"OVV","Ovintiv Inc.",35.18,0.69,2.00058,35.51,36.3,34.38,35.11,35.25,35.4628792,845234,1.354,4.633244037628174,9141902170,259860778,-30.2000007,-1,1.876,36.3,2.96,35.4888,3.4228,21893331,197395,1904297
"BEPC","Brookfield Renewable Corporation Class A Exchangeable Subordinate Voting Shares",52.59,-2.27,-4.137805,54.65,54.96,50.74,52.39,52.59,52.1668192,393505,2.884,-0.3725450038909912,9056081092,172180031,-20.75,-2.8,6.059,80.31,36.17,79.2204,37.6674,8851660,14137,223325
"AC","Air Canada Voting and Variable Voting Shares",26.9,0.08,0.298285,27.26,27.415,25.41,26.85,26.9,26.4493797,7520782,,2.548898935317993,9005024847,334759288,-16.6399993,-1.6,5.254,34.5,9.27,32.7911,11.947,27158386,1138989,5939378
"CAR.UN","Canadian Apartment Properties Real Estate Investment Trust",52.05,0.45,0.872093,51.65,52.25,51.2,51.85,52.14,51.9060294,434847,2.651,0.9694430232048035,8946592962,171884591,5.40000009,9.6,0.965,61.3,36.41,60.9985,38.9387,7153848,105287,536049
"LSPD","Lightspeed POS Inc. Subordinate Voting Shares",73.97,-3.76,-4.837257,79.55,79.68,67.07,73.91,74.1,72.2001461,2075163,,3.1716370582580566,8792374296,127724057,-1.39999997,-64.3,5.063,104.99,10.5,102.1032,12.4466,4090353,195149,782636
"IGM","IGM Financial Inc.",36.19,0.77,2.173913,35.83,36.32,35.43,35.81,36.32,35.9564639,643175,6.217,1.6515309810638428,8624376798,238308284,3.21000003,11.2,1.727,37.09,20.96,36.6345,21.4538,2775939,73393,351330
"NPI","Northland Power Inc.",41.97,-0.57,-1.339915,42.94,42.94,41.47,41.88,42.05,41.9941474,892477,2.859,0.48461899161338806,8485120018,202311760,1.77999997,23.6,6.457,51.46,20.53,50.7238,21.7602,13571949,111421,784426
"TFII","TFI International Inc.",90.81,1.49,1.668159,89.94,90.81,87.63,90.56,90.85,89.8264243,319188,1.277,1.4065799713134766,8481471018,93413761,3.5,26,3.739,103.28,23.21,101.527,24.604,1768203,31713,369334
"NVEI","Nuvei Corporation Subordinate Voting Shares",61.3,-2.04,-3.220714,63.73,63.76,58.04,61.3,61.5,60.4563012,261625,,2.4511730670928955,8469924291,45924637,-2,-33.5,5.794,82.05,42,79.3144,43.9641,2172200,24383,60547
"BLDP","Ballard Power Systems Inc.",28.33,-1.67,-5.566667,30.35,30.51,25.72,28.25,28.44,27.7886753,2768914,,1.8154189586639404,8416313229,297082350,-0.280000001,-126.6,13.363,53.91,9.79,52.468,10.3962,14573546,163101,1237829
"QBR.A","Quebecor Inc. Class A Multiple Voting Shares",33.8,1.21,3.712795,33.91,33.91,33.8,32.59,36,33.873333,300,3.254,0.314846009016037,8388220056,77039034,2.33999991,14.8,7.717,36.17,27.36,35.3217,27.53,30200,5,2113
"QBR.B","Quebecor Inc. Class B Subordinate Voting Shares",33.7,1.09,3.342533,32.69,34.05,32.61,33.57,33.78,33.639911,770610,3.264,0.3047049939632416,8363402837,170183857,2.33999991,14.2,7.694,34.55,25,34.0043,27.4234,2612846,125044,532749
"CU","Canadian Utilities Limited Class A Non-Voting Shares",30.59,0.57,1.898734,30.1,30.75,29.96,30.56,30.64,30.4636247,1147818,5.751,0.552685022354126,8346809578,199413036,1.32000005,23,1.625,42.98,25.25,42.5788,26.8804,2656784,150836,635029
"CU.X","Canadian Utilities Limited Unlimited Class B",30.5,0.37,1.228012,30.5,30.5,30.5,30.5,33.2,30.5,100,5.768,0.450298011302948,8322252113,73447689,2.21000003,23.1,1.62,42.91,25.63,42.4212,27.0067,201190,1,1966
"PAAS","Pan American Silver Corp.",39.09,-0.08,-0.204238,39.14,39.44,37.2,39,39.2,38.3861914,520426,0.91,1.327252984046936,8219123403,210261535,1.05999994,39.6,2.487,53.3,14.23,52.1834,18.092,14488270,78123,736641
"FSV","FirstService Corporation",187.44,-6.24,-3.221809,193.91,194.31,184.51,186.98,188,187.910044,71495,0.497,0.9359239935874939,8212440865,43587554,2.60999989,74.9,9.793,198.7,83.37,196.353,86.2492,2598023,10581,85449
"DOO","BRP Inc. Subordinate Voting Shares",92.81,3.17,3.536368,91,92.83,88.5,92.74,92.92,90.5566467,322520,0.474,2.9107730388641357,8159867265,42769206,2.45000004,37.2,-18.092,99.24,18.56,97.7457,19.651,1496567,80335,393601
"CCO","Cameco Corporation",19.99,-0.56,-2.725061,20.91,21.03,18.41,19.97,20,19.5552395,2002093,0.4,0.761264979839325,7933280196,396862440,-0.119999997,-181.8,1.6,22.74,7.7,22.1731,8.3305,5173131,291109,1299181
"IPL","Inter Pipeline Ltd.",18.09,-0.05,-0.275634,18,18.35,17.92,18.06,18.1,18.1064149,1332041,2.653,2.3073770999908447,7764228000,429219175,0.839999973,21.5,1.842,19.4,5.35,19.2021,6.4346,16325142,518494,2569043
"RBA","Ritchie Bros. Auctioneers Incorporated",68.75,3.93,6.062943,65.3,68.86,64.89,68.7,68.85,67.4352878,278201,1.629,0.8884149789810181,7556205456,109906497,2.02999997,32.7,5.906,101.93,37.76,96.9755,39.6941,7135149,52406,272536
"TIH","Toromont Industries Ltd.",90.72,-1.34,-1.455572,92.38,92.38,90.15,90.5,90.95,90.7344261,278775,1.367,0.6855300068855286,7482100974,82474658,3.0999999,30.3,4.404,94.87,52.37,93.8018,55.742,6033748,29510,214212
"GIL","Gildan Activewear Inc.",37.33,0.57,1.550599,37.13,37.53,36.67,37.33,37.44,37.1566377,387530,,1.7386759519577026,7407128164,198418883,-1.51999998,-25.3,3.74,40.55,13.65,40.063,15.0987,2799225,103427,650076
"X","TMX Group Limited",124.37,1.17,0.949675,123.79,124.79,123,123.95,124.48,123.830545,143211,2.251,0.7471650242805481,7002170170,56241475,4.96000003,25.1,1.939,144.98,84.5,142.2938,89.5409,3860351,25086,177658
"IAG","iA Financial Corporation Inc.",65.35,1.35,2.109375,63.98,65.52,63.98,64.92,65.47,65.0160737,265198,2.969,1.5147329568862915,6996632400,107190977,5.71000003,11.5,1.168,67.49,30.38,66.8675,32.6716,2283751,69997,339942
"ONEX","ONEX Corporation Subordinate Voting Shares",75.92,0.89,1.186192,75.73,76.175,74.22,75.6,76.08,75.2089313,193246,0.527,1.4043489694595337,6863997882,90230531,9.65999984,8,0.746,78,37,76.977,40.9683,3932439,24906,239803
"BB","BlackBerry Limited",12.01,-0.5,-3.996803,12.5,12.5,11.2,11.97,12.02,11.7018047,7100733,,0.9621859788894653,6757235445,563968078,-2.01999998,-6.6,2.958,36,3.95,29.8327,4.2806,40425254,535900,3985212
"NVEI.U","Nuvei Corporation Subordinate Voting Shares (quoted in US funds)",48.08,-2.16,-4.299363,49.99,50.04,45.81,47.89,49.45,47.8123641,18507,,2.6419479846954346,6643294615,45924637,,-34.9,5.772,63.1,31.58,60.9182,33.3663,6148419,1215,50062
"GOOS","Canada Goose Holdings Inc. Subordinate Voting Shares",57.11,1.65,2.975117,56.19,57.21,53.8,57,57.15,55.6867158,393019,,1.6202529668807983,6301430307,59334399,0.620000004,94.4,10.479,62.57,18.28,59.6839,21.2502,3574426,28444,412797
"DSG","Descartes Systems Group Inc.",74.4,-2.32,-3.023983,77.49,77.5,72.43,74.19,74.75,73.9425375,237430,,1.0959570407867432,6285608484,84494658,0.740000009,101.9,5.684,82.41,38.66,81.2878,41.5307,717741,56108,181715
