"Symbol","Name","last","change","changepercent","open","high","low","bid","ask","vwap","sharevolume","dividend yield","beta","marketcap","sharesoutstanding","eps","peratio","pbratio","week52high","week52low","week52highvwap","week52lowvwap","week52highvol","week52lowvol","week52avgvol"
"BIP.PR.F","Brookfield Infrastructure Partners L.P. Cumulative Class A Preferred Limited Partnership Units Series 11",24.81,-0.19,-0.76,24.9,24.99,24.76,24.76,24.95,24.8845161,3163,5.139,0.8257709741592407,246516874,9936190,,,,25,15.03,24.8846,15.5868,30143,20,6208
"BRAG","Bragg Gaming Group Inc.",2.08,-0.03,-1.421801,2.11,2.19,1.69,2.08,2.09,1.94544038,2716200,,0.5856959819793701,245332664,186274868,-0.289999991,-7.2,-69.333,3.19,0.16,2.9967,0.1669,6647854,20,780809
"PZA","Pizza Pizza Royalty Corp.",9.95,0.12,1.220753,9.85,9.95,9.82,9.94,9.95,9.8848301,57891,6.633,1.1648420095443726,244953000,24618392,0.76999998,12.9,0.85,9.97,5.27,9.8849,5.6058,500975,12652,72137
"IAF.PR.G","Industrial Alliance Insurance and Financial Services Inc. Non-Cumulative 5-Year Rate Reset Class A Preferred Shares Series G",24.44,0.04,0.163934,24.41,24.44,24.4,24.4,24.57,24.4218421,3957,3.864,1.170477032661438,244400000,10000000,,,,24.86,10.5,24.6365,10.7458,101100,5,6118
"MFC.PR.I","Manulife Financial Corporation Non-Cumulative Rate Reset Class 1 Shares Series 9",24.39,-0.06,-0.245399,24.36,24.41,24.36,24.26,24.6,24.389,101250,4.46,1.0591440200805664,243900000,10000000,,,,25.08,10.5,24.9954,10.7655,101250,127,9590
"SLF.PR.E","Sun Life Financial Inc. Class A Non-Cumulative Preferred Shares Series 5",24.37,0.02,0.082136,24.33,24.46,24.33,24.35,24.75,24.3595312,6458,4.616,0.6661040186882019,243700000,10000000,,,,25.12,14.49,24.9928,14.9532,138500,100,7895
"GTMS","Greenbrook TMS Inc.",18,-0.51,-2.755267,18.51,18.55,17.79,18,18.08,18.1719306,14615,,2.831583023071289,243044568,13502476,-3.1400001,-6,16.216,21.61,1,20.3018,1.1964,857000,11,43119
"SLF.PR.C","Sun Life Financial Inc. Class A Non-Cumulative Preferred Shares Series 3",24.22,0.02,0.082645,24.13,24.22,24.11,24.18,24.3,24.1441666,3666,4.593,0.7062219977378845,242200000,10000000,,,,24.96,14.25,24.93,14.703,191950,8,11427
"BAM.PF.G","Brookfield Asset Management Inc. Class A Preference Shares Series 42",20.2,-0.05,-0.246914,20.2,20.3,20.18,20.1,20.38,20.2000956,21043,4.027,0.8868259787559509,240127500,11890300,,,,20.3,9.5,20.293,10.3349,122780,36,10131
"WN.PR.A","George Weston Limited 5.80% Preferred Shares Series 1",25.51,0.01,0.039216,25.65,25.65,25.51,25.6,25.7,25.5830769,4030,5.684,0.2679550051689148,239794000,9400000,,,,25.97,21.06,25.9019,22.0575,200209,100,6636
