Segment,Sector,Issuer Name,ISIN,Sedol,Security Type,MiFIR Identifier,Currency,Trading Parameter Code,Price Tick Table ID,Country of Register,Mnemonic,Short Name,Long Name,EMS,Max Spread Floor,Max Spread Perc.,ADT / PTS (EU),ADT / PTS (UK),Issuer Version Start Date
SET1,FE10,VODAFONE GROUP PLC,GB00BH4HKS39,BH4HKS3,DE,SHRS,GBX,TP_1,TM_48,GB,VOD,VODAFONE GRP.,ORD USD0.20 20/21,10000,1,5,429103037,427400248,02/01/2018
SET1,FE10,SCOTTISH MORTGAGE INV TST PLC,GB00BLDYK618,BLDYK61,DE,SHRS,GBX,TP_1,TM_46,GB,SMT,SCOTTISH MORT,ORD 5P,2000,1,5,21751715,22096980,14/09/2020
SET1,FE10,FLUTTER ENTERTAINMENT PLC,IE00BWT6H894,BWXC0Z1,IE,SHRS,GBX,TP_1,TM_47,IE,FLTR,FLUTTER ENT,ORD EUR0.09,150,1,5,80274991,79956440,15/06/2020
SET1,FE10,NATIONAL GRID PLC,GB00BDR05C01,BDR05C0,DE,SHRS,GBX,TP_1,TM_47,GB,NG.,NATIONAL GRID,ORD 12 204/473P,2000,1,5,248472047,252416048,10/01/2018
SET1,FE10,COMPASS GROUP PLC,GB00BD6K4575,BD6K457,DE,SHRS,GBX,TP_1,TM_47,GB,CPG,COMPASS GROUP,ORD 11 1/20P,1000,1,5,195939182,199049328,15/08/2017
SET1,FE10,BHP GROUP PLC,GB00BH0P3Z91,BH0P3Z9,DE,SHRS,GBX,TP_1,TM_48,GB,BHP,BHP GROUP,ORD $0.50,1000,1,5,385172887,383644424,23/11/2018
SET1,FE10,FERGUSON PLC,JE00BJVNSS43,BJVNSS4,IE,SHRS,GBX,TP_1,TM_47,JE,FERG,FERGUSON,ORD 10P,300,1,5,124014502,119773336,16/03/2020
SET1,FE10,TESCO PLC,GB00BLGZ9862,BLGZ986,DE,SHRS,GBX,TP_1,TM_47,GB,TSCO,TESCO,ORD 6 1/3P,10000,1,5,0,150000000,15/02/2021
SET1,FS10,ANTOFAGASTA PLC,GB0000456144,0045614,DE,SHRS,GBX,TP_2,TM_47,GB,ANTO,ANTOFAGASTA,ORD 5P,1500,1,5,54918050,55789766,15/08/2017
SET1,FS10,BARRATT DEVELOPMENTS PLC,GB0000811801,0081180,DE,SHRS,GBX,TP_2,TM_47,GB,BDEV,BARRATT DEVEL.,ORD 10P,3000,1,5,81803406,83227448,04/12/2017
SET1,FS10,BRITISH LAND CO PLC,GB0001367019,0136701,DE,SHRS,GBX,TP_2,TM_47,GB,BLND,BR.LAND,ORD 25P,3000,1,5,69862002,70970924,19/10/2020
SET1,FS10,AVIVA PLC,GB0002162385,0216238,DE,SHRS,GBX,TP_2,TM_47,GB,AV.,AVIVA,ORD 25P,5000,1,5,137114158,139290574,16/03/2020
