Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Keong Hong,5TT,KEHO.SI,83.685,82.942,,,Industrial & Commercial Services,57
Kep Infra Tr,A7RU,KEPL.SI,2745.048,1551.9,,6.76,Utilities,79.5
KepPacOakReitUSD,CMOU,KPEL.SI,699.496,139.59,12.34,8.42,Real Estate,91.5
Keppel Corp,BN4,KPLM.SI,9922.04,6574.342,,1.83,Consumer Goods Conglomerates,122
Keppel DC Reit,AJBU,KEPE.SI,4394.01,265.571,26.12,3.07,Real Estate,88.3
Keppel Reit,K71U,KASA.SI,4432.023,170.223,,,Real Estate,81.9
Khong Guan,K03,KHON.SI,37.428,63.861,31.68,1.38,Food & Beverages,55
KimHeng Offshore,5G2,KIMH.SI,26.27,37.643,,,Energy - Fossil Fuels,65
Kimly,1D0,KIML.SI,371.314,210.773,14.24,3.61,Cyclical Consumer Services,67
King Wan,554,KIWC.SI,10.475,,,,Industrial & Commercial Services,71
KingsmenCreative,5MZ,KMEN.SI,60.584,286.958,,,Industrial & Commercial Services,54
Kitchen Culture,5TI,KCHL.SI,33.549,12.743,,,Retailers,71
Koda,BJZ,KODA.SI,51.441,87.236,7.6,1.61,Cyclical Consumer Products,92
Koh Bros,K75,KBRO.SI,77.964,243.066,,,Industrial & Commercial Services,60
Koh Eco,5HV,KBEE.SI,133.926,182.264,,,Industrial & Commercial Services,55
Koon,5DL,KOON.SI,11.161,89.27,,,Industrial & Commercial Services,
KOP,5I1,KOPL.SI,44.318,8.824,,,Cyclical Consumer Services,86
Kori,5VC,KORI.SI,15.475,14.74,35.14,,Industrial & Commercial Services,74
Koufu,VL6,KOUF.SI,371.959,192.375,37.62,1.79,Cyclical Consumer Services,74
Koyo Intl,5OC,KOYO.SI,11.767,,,1.67,Industrial & Commercial Services,55
KrisEnergy,SK3,KRIS.SI,45.041,60.314,,,Energy - Fossil Fuels,78
KS Energy,578,KSTL.SI,17.148,39.982,,,Energy - Fossil Fuels,49
KSH,ER0,KSHH.SI,216.5,134.064,348.62,5.79,Industrial & Commercial Services,74
KTL Global,EB7,KTLG.SI,22.413,3.975,,,Cyclical Consumer Services,57
KTMG,XCF,KTMG.SI,33.936,70.996,10.9,,Cyclical Consumer Products,55
Lasseters Intl,5EL,LASS.SI,25.309,37.507,,,Cyclical Consumer Services,54
Leader Env,LS9,LETL.SI,200.373,2.809,,,Industrial & Commercial Services,52
Lendlease Reit,JYEU,LEND.SI,950.702,75.737,33.33,4.57,Real Estate,
Ley Choon,Q0X,LEYC.SI,17.772,74.245,,,Industrial & Commercial Services,84
LHN,41O,LHNL.SI,79.684,134.213,3.3,6.31,Real Estate,76
LHT,BEI,LHTH.SI,34.875,,,4.58,Applied Resources,80
Lian Beng,L03,LIBG.SI,267.529,442.103,9.13,1.98,Industrial & Commercial Services,65
Libra,5TR,LIGL.SI,7.572,37.191,,,Industrial & Commercial Services,70
LifeBrandz,1D3,LIFE.SI,10.302,0.719,,,Cyclical Consumer Services,55
Lion Asiapac,BAZ,LIAS.SI,38.525,16.655,51.91,,Mineral Resources,56
Lippo Malls Tr,D5IU,LMRT.SI,552.48,148.535,,4.76,Real Estate,90.5
Livingstone,PRH,LIVI.SI,62.558,0.343,,,Healthcare Services,
Lonza,O6Z,LONN.S,40987.602,4508,56.31,0.55,Pharmaceuticals & Medical Research,
Lorenzo Intl,5IE,LRZI.SI,6.605,24.645,,,Retailers,50
Low Keng Huat,F1E,LKH.SI,369.408,52.324,5.78,5,Industrial & Commercial Services,65
Lum Chang,L19,LUCS.SI,150.162,265.843,,4.49,Industrial & Commercial Services,65
Lung Kee Bermuda,L09,0255.HK,2210.871,2064.882,12.21,8,Industrial Goods,
Luxking,BKK,LUKG.SI,3.795,85.837,2.69,,Chemicals,59
LY Corp,1H8,LYCO.SI,84.622,80.869,36.55,0.48,Cyclical Consumer Products,74
M Development,N14,MDVT.SI,3.759,0.04,,,Mineral Resources,25
Magnus Energy,41S,MAGN.SI,12.639,12.665,,,Energy - Fossil Fuels,58
Man Oriental USD,M04,MOIL.SI,2362.238,183.7,,1.6,Cyclical Consumer Services,
Manhattan Res,L02,MANH.SI,98.555,9.182,4.65,,Utilities,51
ManulifeReit USD,BTOU,MANU.SI,1177.829,194.312,,7.62,Real Estate,93.8
Mapletree Com Tr,N2IU,MACT.SI,7030.353,477.327,281.17,3,Real Estate,67.7
Mapletree Ind Tr,ME8U,MAPI.SI,6536.22,427.942,16.43,3.68,Real Estate,81.2
Mapletree Log Tr,M44U,MAPL.SI,8480.747,532.184,19.93,3.89,Real Estate,85.2
Mapletree NAC Tr,RW0U,MAPE.SI,3777.771,334.183,,5.56,Real Estate,90.2
MarcoPolo Marine,5LY,MAPM.SI,70.536,30.849,,,Transportation,42
Maruwa Yen1k,M12,5344.T,145494.719,40990.277,21.06,0.46,Technology Equipment,
Mary Chia,5OX,MARY.SI,32.016,6.786,,,Personal & Household Products & Services,65
Matex Intl,M15,MATE.SI,10.598,,,,Chemicals,75
Maxi-Cash Fin,5UF,MAXI.SI,188.416,,,18.96,Banking & Investment Services,71
MC Payment,TVV,MCPA.SI,96.648,,,,Industrial & Commercial Services,
MDR Limited,Y3D,MDRT.SI,72.566,192.797,,3.88,Retailers,
Medi Lifestyle,5TN,MEDL.SI,13.845,0.201,,,Healthcare Services,79
Medinex,OTX,MEDN.SI,26.898,,,4.1,Industrial & Commercial Services,84
Medtecs Intl,546,MTCS.SI,565.894,531.955,3.23,6.48,Healthcare Services,55
MegaChem,5DS,MEGA.SI,59.985,105.239,11.7,3.33,Chemicals,83
MeGroup,SJY,MEGR.SI,20.319,61.105,2287.81,0.33,Automobiles & Auto Parts,68
Memiontec,SYM,MEMI.SI,44.051,34.606,33.22,0.93,Utilities,
Memories,1H4,MEMO.SI,12.052,12.634,,,Cyclical Consumer Services,
Mencast,5NF,MCHL.SI,12.806,46.872,2.1,,Energy - Fossil Fuels,61
Mercurius,5RF,MERC.SI,77.842,0,,,Real Estate,51
Mermaid Maritime,DU4,MMPC.SI,96.106,111.326,,,Energy - Fossil Fuels,83
Metal Component,5DX,META.SI,12.346,,,,Mineral Resources,56
Metech Intl,V3M,METE.SI,9.504,2.548,,,Industrial & Commercial Services,39
Metro,M01,MTHL.SI,644.45,118.25,20.66,2.58,Retailers,75
Mewah Intl,MV4,MEWI.SI,637.784,4578.85,5.55,1.76,Food & Beverages,78
MFG Integration,M11,MITD.SI,14.887,10.004,,303.23,Technology Equipment,74
Micro-Mechanics,5DD,MMEC.SI,469.928,69.484,27.79,3.25,Technology Equipment,110
Midas,5EN,MIDA.SI,358.413,,,,Mineral Resources,9
MindChamps,CNE,MIND.SI,73.688,51.8,23.23,,Personal & Household Products & Services,74
Mirach Energy,AWO,MIEL.SI,1.621,0.862,,,Food & Beverages,50
Miyoshi,M03,MIYO.SI,21.443,43.3,,,Technology Equipment,90
MM2 Asia,1B0,MM2A.SI,130.234,138.25,,,Cyclical Consumer Services,79
MoneyMax Fin,5WJ,MFSL.SI,95.526,197.147,4.69,4.37,Retailers,65
Moya Asia,5WE,MOYA.SI,285.844,240.123,8.17,,Industrial & Commercial Services,78
MS Hldgs,40U,MSHO.SI,6.3,10.442,,,Industrial & Commercial Services,62
MSC,NPW,MSCB.KL,904,813.359,56.14,0.88,Mineral Resources,
MSM Intl,5QR,MSML.SI,2.951,21.511,,,Industrial Goods,57
MTQ,M05,MTLS.SI,47.594,65.875,5.18,3.41,Energy - Fossil Fuels,72
Multi-Chem,AWZ,MCHE.SI,138.746,479.714,7.8,4.29,Technology Equipment,73
Mun Siong Engg,MF6,MSEL.SI,27.914,46.929,,0.83,Industrial & Commercial Services,76
Murata Yen1k,PJX,,,,,,,
MYP,F86,MYPL.SI,143.322,21.664,750,,Real Estate,67
Nam Cheong,N4E,NMCG.SI,31.294,120.279,,,Industrial Goods,66
Nam Lee Metal,G0I,NLPM.SI,79.217,118.583,12.34,3.08,Cyclical Consumer Products,45
Nanofilm,MZH,NANO.SI,3619.095,,,,Chemicals,
Natural Cool,5IF,NCHL.SI,12.522,,,3,Industrial & Commercial Services,81
NauticAWT,42D,NAUT.SI,11.119,7.88,,,Cyclical Consumer Services,54
Neo,5UJ,NEOG.SI,87.674,182.82,4.97,1.96,Cyclical Consumer Services,82
NeraTel,N01,NERA.SI,70.208,131.118,18.67,2.58,Technology Equipment,88
Net Pacific Fin,5QY,NPFH.SI,13.141,,,,Banking & Investment Services,55
NetLink NBN Tr,CJLU,NETL.SI,3741.092,365.544,47.5,5.27,Telecommunications Services,98.9
New Silkroutes,BMT,NEWS.SI,36.448,245.29,,,Healthcare Services,52
New Toyo,N08,NTYO.SI,90.082,242.894,11.86,5.12,Applied Resources,79
New Wave,5FX,NEWW.SI,13.82,14.607,,,Mineral Resources,61
NGSC,B07,NGSC.SI,6.449,0,,,Telecommunications Services,40
Nico Steel,5GF,NICO.SI,4.962,20.077,,,Mineral Resources,63
Nippecraft,N32,NIPP.SI,13.705,190.082,117.4,,Applied Resources,70
No Signboard,1G6,NOSI.SI,14.797,10.105,,,Cyclical Consumer Services,58
Noble,CGP,NOBG.SI,50.191,4665.504,,,Industrial & Commercial Services,8
Noel Gifts Intl,543,NOEL.SI,20.495,18.421,11.16,1,Retailers,55
Nomura Yen1k,N33,8604.T,1864148.875,1759012,6.62,4.34,Banking & Investment Services,
Nordic,MR7,NRGL.SI,100,80.794,17.79,2.2,Industrial & Commercial Services,78
NSL,N02,NATS.SI,343.673,247.106,,5.43,Mineral Resources,48
Ntegrator Intl,5HC,NTOR.SI,20.247,23.102,,,Software & IT Services,58
NutryFarm,AZT,NUTR.SI,44.438,7.562,,,Software & IT Services,50
OCBC Bank,O39,OCBC.SI,53356.637,9143,14.89,2.67,Banking & Investment Services,114
Ocean Sky Intl,1B6,OCEA.SI,21.099,23.954,,,Industrial & Commercial Services,66
Oceanus,579,OCGL.SI,947.58,91.622,108.35,,Food & Beverages,52
OEL,584,OELH.SI,14.007,0.683,,,Real Estate,63
OIO,KUX,OIOH.SI,23.616,1.468,,,Industrial & Commercial Services,
OKH Global,S3N,OKHG.SI,22.573,15.138,,,Industrial & Commercial Services,62
OKP,5CF,OKPH.SI,58.91,69.627,17.83,3.66,Industrial & Commercial Services,75
Olam Intl,O32,OLAM.SI,5724.283,35820.043,30.04,4.29,Food & Beverages,95
Old Chang Kee,5ML,OCKL.SI,83.749,81.605,15.43,1.45,Cyclical Consumer Services,74
Olive Tree,1H2,OLIV.SI,7.367,3.804,,,Real Estate,61
OneApex,5SY,ONEA.SI,12.675,1.142,,,Real Estate,57
Ossia Intl,O08,OSSA.SI,29.052,24.59,10.83,7.83,Retailers,35
OUE,LJ3,OVES.SI,1389.339,530.455,,0.68,Real Estate,64
OUE Com Reit,TS0U,OUEC.SI,2255.191,292.007,,5.03,Real Estate,92.9
OUE Lippo HC,5WA,OUEL.SI,182.168,19.98,,,Healthcare Services,79
Ouhua Energy,AJ2,OUEH.SI,17.631,,,,Energy - Fossil Fuels,44
Overseas Edu,RQ1,OVER.SI,122.532,79.055,11.9,7.8,Academic & Educational Services,64
Oxley,5UX,OXHL.SI,1108.643,1384.268,,1.92,Real Estate,65
P5 Capital,5AI,P5CA.SI,25.512,4.958,,,Cyclical Consumer Products,48
Pacific Andes,P11,PACF.SI,179.625,1104.139,,,Food & Beverages,50
Pacific Century,P15,PCEN.SI,1033.399,23.6,,7.62,Holding Companies,69
Pacific Radiance,T8V,PACI.SI,73.78,84.405,,,Energy - Fossil Fuels,71
Pacific Star Dev,1C5,PACS.SI,21.6,3.984,,,Real Estate,63
Pan Asian,5EW,PANA.SI,7.283,22.927,,5.29,Utilities,47
Pan Hong,P36,PANH.SI,78.347,249.437,1.66,9.93,Real Estate,60
Pan Ocean,AZY,PANOx.SI,4145.237,2969.913,25.16,0.98,Transportation,27
PanUnited,P52,PANU.SI,238.679,405.024,231.29,2.35,Mineral Resources,61
Parkson Retail,O9E,PRAL.SI,10.16,198.051,,,Retailers,79
ParkwayLife Reit,C2PU,PWLR.SI,2504.71,120.892,28.72,,Real Estate,80.3
Pavillon,596,PAVI.SI,10.469,,,,Cyclical Consumer Services,42
PEC,IX2,PECL.SI,118.907,378.448,,1.08,Energy - Fossil Fuels,58
Penguin Intl,BTM,PGUN.SI,143.11,119.417,10.84,2.69,Transportation,84
Pharmesis Intl,BFK,PHAR.SI,4.945,9.634,,,Pharmaceuticals & Medical Research,45
Pine Cap,ADJ,PINC.SI,6.444,0.63,,,Banking & Investment Services,11
Plastoform,AYD,PFML.SI,0.506,0.773,,,Technology Equipment,41
PlatoCapital,YYN,PLAT.SI,9.248,,,,Software & IT Services,
PNE Industries,BDA,PNEI.SI,82.658,85.844,13.34,5.08,Industrial Goods,36
Polaris,5BI,POLA.SI,68.213,32.91,400,,Retailers,58
Pollux Prop,5AE,PLPS.SI,129.695,,,,Real Estate,55
Powermatic Data,BCY,PMDS.SI,95.235,22.53,12.07,,Technology Equipment,52
Prime US ReitUSD,OXMU,PRIE.SI,901.371,143.557,37.91,8.16,Real Estate,83.4
Procurri,BVQ,PROC.SI,105.926,233.467,38.96,,Software & IT Services,59
Progen,583,POGN.SI,17.964,,,,Industrial & Commercial Services,60
PropNex,OYY,PROP.SI,392.2,515.634,13.48,5.19,Real Estate,72
Prudential USD,K6S,PRU.L,39194.816,40164.547,25.61,0.79,Insurance,
PSL,BLL,PSLL.SI,8.242,7.851,,,Industrial & Commercial Services,61
Q&M Dental,QC7,QMDT.SI,495.006,137.62,24.57,1.46,Healthcare Services,73
QAF,Q01,QAFS.SI,586.774,561.785,13.95,4.9,Food & Beverages,75
Qian Hu,BCV,QIAN.SI,23.841,75.233,,0.95,Food & Beverages,103
QT Vascular,5I0,QTVA.SI,13.437,,,,Healthcare Services,59
Raffles Edu,NR7,RLSE.SI,226.059,96.785,18.45,,Academic & Educational Services,38
Raffles Infrastructure,LUY,RAFL.SI,19.029,42.57,2.64,,Industrial & Commercial Services,56
Raffles Medical,BSL,RAFG.SI,2147.52,568.203,32.21,2.17,Healthcare Services,66
RE&S Hldg,1G1,RESH.SI,56.286,108.191,9.34,3.14,Cyclical Consumer Services,73
Reclaims Global,NEX,RECL.SI,31.44,24.722,14.49,1.58,Industrial & Commercial Services,75
Reenova Investment,5EC,REEN.SI,20.233,0,,,Banking & Investment Services,66
Regal Intl,UV1,REGI.SI,25.865,26.544,24.48,,Real Estate,49
Renaissance United,I11,RENA.SI,12.362,66.767,7.41,,Utilities,64
Resources Gbl,QSD,RESU.SI,18.9,73.247,6.01,,Energy - Fossil Fuels,
Resources Prima,5MM,RESO.SI,46.067,0,,,Energy - Fossil Fuels,61
Revez,RCU,REVE.SI,42.712,6.623,432.2,,Software & IT Services,
Rex Intl,5WH,REXI.SI,238.107,62.007,,,Energy - Fossil Fuels,88
RH PetroGas,T13,RHPG.SI,19.091,,,,Energy - Fossil Fuels,71
RHT HealthTrust,RF1U,RHTH.SI,15.246,0,,,Real Estate,46.2
Rich Capital,5G4,RICH.SI,21.484,0,,,Mineral Resources,56
Riverstone,AP4,RVHL.SI,2019.47,591.186,9.64,4.34,Healthcare Services,73
Roxy-Pacific,E8Z,RXYP.SI,466.081,198.431,,3.07,Real Estate,88
Ryobi Kiso,BDN,RKHL.SI,38.423,146.908,,,Industrial & Commercial Services,66
Sabana Reit,M1GU,SABA.SI,442.295,71.701,,5.45,Real Estate,71.5
Sakae,5DO,SAKA.SI,20.448,23.88,12.85,,Cyclical Consumer Services,46
Samko Timber,E6R,SAMT.SI,83.469,,,,Applied Resources,67
SamuderaShipping,S56,SAMU.SI,169.826,,,2.38,Transportation,76
Samurai,1C3,SAMR.SI,105.524,25.445,34.19,1.56,Chemicals,75
Sanli Env,1E3,SANL.SI,16.388,65.856,42.96,0.98,Industrial & Commercial Services,79
Santak,580,SATK.SI,6.455,12.634,,,Industrial Goods,49
Sapphire,BRD,SAPP.SI,41.574,225.551,5.26,,Industrial & Commercial Services,64
Sarine Tech,U77,SARI.SI,210.435,54.438,66.24,0.9,Industrial Goods,53
Sasseur Reit,CRPU,SASS.SI,1100.565,125.248,23.23,8.51,Real Estate,83.7
SATS,S58,SATS.SI,4676.074,1419.216,,1.44,Transportation,131
SBI Offshore,5PL,SBIO.SI,9.488,0,,,Energy - Fossil Fuels,68
SBS Transit,S61,SBVV.SI,988.612,1230.947,12.52,1.99,Transportation,106
Second Chance,528,SECD.SI,203.015,26.851,34.44,1.67,Retailers,66
Secura,43B,SECU.SI,35.6,33.916,11.96,4.49,Industrial & Commercial Services,59
Sembcorp Ind,U96,SCIL.SI,3932.605,5447,28.07,1.82,Utilities,118
Sembcorp Marine,S51,SCMN.SI,2573.907,1510.28,,,Industrial Goods,94
Sen Yue,5BS,SENY.SI,21.654,,,,Mineral Resources,58
Serial System,S69,SERL.SI,80.615,971.884,223.26,1.24,Industrial Goods,84
Seroja Inv,IW5,SERO.SI,30.841,0,,,Transportation,56
SEVAK,BAI,SEVA.SI,33.452,264.036,,,Telecommunications Services,65
SGX,S68,SGXL.SI,11220.096,1095.005,22.59,3.01,Banking & Investment Services,121
Shanghai Turbo,AWM,SHTU.SI,17.855,7.009,,,Industrial Goods,49
Shangri-La HKD,S07,0069.HK,27751.965,8020.665,,,Cyclical Consumer Services,
Shen Yao,A78,SHEY.SI,163.531,87.18,17.86,,Mineral Resources,45
Sheng Siong,OV8,SHEN.SI,2330.482,1393.998,16.81,4.19,Food & Drug Retailing,67
Shinvest,BJW,SHIN.SI,71.773,12.569,2.07,1.25,Industrial Goods,42
Shopper360,1F0,SHOP.SI,12.241,48.934,13.21,,Cyclical Consumer Services,72
SHS,566,SEEH.SI,113.702,35.146,,,Industrial & Commercial Services,61
SIA,C6L,SIAL.SI,15125.921,9285.8,,1.11,Transportation,94
SIA Engineering,S59,SIAE.SI,2585.468,704.446,29.65,3.48,Transportation,97
SIIC Environment,BHK,SIIC.SI,553.768,1278.462,4.31,4.65,Utilities,66
Silkroad Nickel,STP,SILK.SI,112.322,0.631,,,Mineral Resources,74
Silverlake Axis,5CP,SLVX.SI,674.118,199.202,13.19,3.72,Software & IT Services,79
Sim Leisure,URR,SIMI.SI,31.006,3.181,11.29,,Cyclical Consumer Services,71
Sin Ghee Huat,B7K,SGHC.SI,47.73,29.335,,,Mineral Resources,55
Sin Heng Mach,BKA,SIHM.SI,43.083,53.356,35.75,1.33,Industrial Goods,64
Sinarmas Land,A26,SINA.SI,1296.556,910.476,11.88,0.32,Real Estate,84
Sincap,5UN,SINC.SI,10.206,5.021,,,Energy - Fossil Fuels,39
Sing Inv & Fin,S35,SINV.SI,228.558,83.313,11.66,2.48,Banking & Investment Services,97
Sing Paincare,FRQ,SINR.SI,35.565,,,3.54,Healthcare Services,
Singapore O&G,1D8,SINP.SI,128.917,39.889,13.57,6.3,Healthcare Services,94
SingaporeKitchen,5WG,SING.SI,10.85,22.211,86.42,,Cyclical Consumer Products,75
SingHaiyi,5H0,SIHL.SI,292.293,94.788,862.5,,Real Estate,73
SingHoldings,5IC,SHDS.SI,160.398,173.102,9.69,2.5,Real Estate,73
SingMedical,5OT,SMGL.SI,159.397,87.34,18.26,1.21,Healthcare Services,65
SingMyanmar,Y45,SINO.SI,4.822,13.539,,,Transportation,62
SingPost,S08,SPOS.SI,1763.194,1375.916,48.8,2.84,Transportation,111
SingReinsurance,S49,SPRS.SI,208.711,134.227,40.84,2,Insurance,67
SingShipping,S19,SSHP.SI,105.997,59.521,7.79,3.77,Industrial Goods,73
Singtel,Z74,STEL.SI,41782.027,15702.1,24.8,4.17,Telecommunications Services,128
Singtel 10,Z77,,,,,,,
Sinjia Land,5HH,SINJ.SI,4.801,,,,Cyclical Consumer Services,73
Sino Grandness,T4B,SOGF.SI,22.988,600.073,0.46,,Food & Beverages,42
SinoCloud,5EK,SINL.SI,15.878,3.537,,,Software & IT Services,49
Sinopipe,X06,SPHL.SI,39.274,0,,,Cyclical Consumer Products,36
Sinostar Pec,C9Q,SNSR.SI,110.72,650.758,3.41,,Energy - Fossil Fuels,68
Sitra,5LE,SITR.SI,18.424,,,,Applied Resources,59
SLB Dev,1J0,SLBD.SI,100.43,45.362,9.24,,Real Estate,61
Soilbuild Const,S7P,SOIL.SI,47.109,148.937,,8.93,Industrial & Commercial Services,72
Soon Lian,5MD,SNLN.SI,8.64,,,,Mineral Resources,66
Soup Restaurant,5KI,SRGL.SI,28.955,31.108,36.74,2.06,Cyclical Consumer Services,66
Southern Pkg,BQP,SOUT.SI,35.16,,,0.5,Applied Resources,71
SouthernAlliance,QNS,SOUH.SI,317.85,,,0.92,Mineral Resources,
SP Corp,AWE,SPPS.SI,22.463,29.432,16.1,,Industrial & Commercial Services,80
Spackman,40E,SPAC.SI,11.695,,,,Cyclical Consumer Services,78
SPH,T39,SPRM.SI,2849.156,811.363,,2.25,Cyclical Consumer Services,112
SPHREIT,SK6U,SPHR.SI,2431.447,248.016,,3.36,Real Estate,78.6
Spindex Ind,564,SNEX.SI,138.438,167.773,8.92,2.33,Industrial Goods,53
Spura Finance,S23,SBDS.SI,137.263,31.438,28.79,1.73,Banking & Investment Services,88
Sri Trang Agro,NC2,STA.BK,71808,75478.742,7.53,4.81,Automobiles & Auto Parts,61
ST Engineering,S63,STEG.SI,12458.756,7158.286,23.98,3.76,Industrial Goods,97
ST Group Food,DRX,STGR.SI,31.98,36.949,,1.19,Cyclical Consumer Services,53
Stamford Land,H07,SFLD.SI,332.759,140.262,28.91,1.18,Cyclical Consumer Services,78
Stamford Tyres,S29,STAS.SI,45.578,187.385,,2.6,Automobiles & Auto Parts,76
Starburst,40D,STAB.SI,51.114,,,5.08,Industrial & Commercial Services,55
StarhillGbl Reit,P40U,STHL.SI,1260.063,172.475,,3.78,Real Estate,78
StarHub,CC3,STAR.SI,2355.045,2028.8,15.98,3.68,Telecommunications Services,93
Starland,5UA,STHO.SI,12.447,,,34.88,Real Estate,69
Straco,S85,STRA.SI,495.29,29.557,,1.75,Cyclical Consumer Services,54
Straits Trading,S20,STCM.SI,1163.073,386.687,22.53,2.11,Mineral Resources,65
SunMoonFood,AAJ,SMFC.SI,24.324,26.117,,,Food & Beverages,55
Sunningdale Tech,BHQ,,,,,,,77
Sunpower,5GD,SUNP.SI,700.204,829.987,,0.28,Industrial Goods,47
Sunright,S71,SNRT.SI,58.333,108.944,21.21,0.63,Technology Equipment,51
Sunrise Shares,581,SUNR.SI,8.373,,,,Real Estate,74
Suntar Eco-City,BKZ,SECL.SI,43.932,4.541,433.86,,Pharmaceuticals & Medical Research,35
Suntec Reit,T82U,SUNT.SI,4426.77,315.39,,4.09,Real Estate,85.3
SUTL Enterprise,BHU,SUTL.SI,44.96,16.149,14.1,3.85,Cyclical Consumer Services,68
Swiber,BGK,SWBR.SI,49.32,1142.016,,,Energy - Fossil Fuels,35
Swing Media Tech,BEV,SWMT.SI,25.186,194.738,,,Technology Equipment,50
Swissco Hldg,ADP,SWCO.SI,35.363,47.001,,,Energy - Fossil Fuels,22
Sysma,5UO,SYSM.SI,34.191,40.594,13.85,7.63,Industrial & Commercial Services,54
TA,PA3,TACO.SI,40.927,161.984,,,Real Estate,64
Tai Sin Electric,500,TAIS.SI,159.731,246.015,8.05,4.35,Industrial Goods,60
TalkMed,5G3,TALK.SI,567.609,62.136,25.01,3.14,Healthcare Services,69
Tat Seng Pkg,T12,TASE.SI,124.974,,,2.52,Applied Resources,45
TCIL HK$,T15,0693.HK,4127.284,12319.495,433.4,1.95,Retailers,
Tech Oil & Gas,5CQ,TECH.SI,16.421,65.026,,,Energy - Fossil Fuels,24
TEE Intl,M1Z,TEEI.SI,25.926,224.553,,,Industrial & Commercial Services,69
Teho Intl,5OQ,TEHO.SI,10.123,63.714,4.39,,Industrial Goods,64
TeleChoice Intl,T41,TCIN.SI,81.796,213.474,,2.78,Technology Equipment,66
ThaiBev,Y92,TBEV.SI,17959.91,10609.56,18.63,2.56,Food & Beverages,64
Thakral,AWI,THAK.SI,57.579,90.121,8.82,6.82,Real Estate,84
The Place Hldg,E27,THEP.SI,852.695,1.131,1208.33,,Cyclical Consumer Services,75
TheHourGlass,AGS,HRGS.SI,662.711,658.194,9.34,3.19,Retailers,71
Thomson Medical,A50,THOS.SI,2934.953,214.62,,,Healthcare Services,63
Tianjin ZX USD,T14,TIAN.SI,1875.647,1016.244,6.76,,Pharmaceuticals & Medical Research,65
TIH,T55,TIHL.SI,67.672,-1.422,,3.57,Collective Investments,55
Tiong Seng,BFI,TISE.SI,77.676,235.938,,2.96,Industrial & Commercial Services,63
Tiong Woon,BQM,TION.SI,106.828,100.945,53.18,0.65,Industrial Goods,47
TLV,42L,TLVH.SI,36.192,,,,Retailers,76
Top Global,BHO,TPGB.SI,123.93,40.683,,,Real Estate,66
Top Glove,BVA,TPGC.KL,44313.66,14922.365,6.42,9.3,Healthcare Services,
Tosei,S2D,8923.T,53600.863,65572.789,16.72,1.73,Real Estate,
Transit Concrete,570,TMCL.SI,9.047,6.51,,,Mineral Resources,56
Travelite,BCZ,TRHL.SI,7.447,28.288,,,Retailers,56
Trek 2000 Intl,5AB,TRKL.SI,45.376,,,,Technology Equipment,42
Trendlines,42T,THET.SI,81.493,5.108,,,Banking & Investment Services,74
TrickleStar,CYW,TRIC.SI,28.376,17.075,29.88,1.75,Industrial Goods,57
Tritech,5G9,TTGL.SI,16.403,5.942,,,Industrial & Commercial Services,78
Triyards,RC5,TRIY.SI,26.777,154.417,,,Energy - Fossil Fuels,46
TSH,KUH,TSHC.SI,5.633,,,,Cyclical Consumer Services,
TT Intl,T09,TINL.SI,14.262,44.397,,,Retailers,37
TTJ,K1Q,TTJH.SI,51.8,58.464,,2.7,Industrial & Commercial Services,60
Tuan Sing,T24,TSHS.SI,449.719,196.817,7.55,1.6,Real Estate,106
Tung Lok Rest,540,TGLK.SI,39.788,62.494,,,Cyclical Consumer Services,63
Tye Soon,BFU,TYES.SI,26.616,,,,Automobiles & Auto Parts,66
UGHealthcare,8K7,UGHE.SI,378.999,250.448,5.5,0.39,Healthcare Services,
UIC,U06,UICS.SI,4040.122,671.125,44.77,1.24,Real Estate,54
UMS,558,UMSH.SI,729.544,164.438,19.89,2.57,Technology Equipment,66
Uni-Asia Grp,CHJ,UAFC.SI,48.732,61.049,,1.61,Real Estate,71
Union Gas,1F2,UNIO.SI,186.578,86.19,13.46,2.52,Utilities,72
Union Steel,BLA,UNIS.SI,17.72,60.114,,,Mineral Resources,73
United Food,AZR,UTDF.SI,3.946,3.664,,,Food & Beverages,34
United Global,43P,UNIT.SI,129.647,0.233,30.1,2.44,Energy - Fossil Fuels,88
Universal Res,BGO,UNIV.SI,4.001,0.01,,,Energy - Fossil Fuels,41
UnUsUaL,1D1,UNUS.SI,198.632,29.083,,,Cyclical Consumer Services,57
UOA,EH5,UOS.AX,368.157,396.508,11.66,2.61,Real Estate,
UOB,U11,UOBH.SI,44236.469,,,2.97,Banking & Investment Services,113
UOB Kay Hian,U10,UOKH.SI,1464.691,587.593,9.11,5.43,Banking & Investment Services,52
UOI,U13,UOIS.SI,441.539,55.342,18.32,2.35,Insurance,90
UOL,U14,UTOS.SI,6710.422,1977.148,512.24,1.89,Real Estate,86
USP Group,BRS,USPG.SI,4.364,30.002,,,Energy - Fossil Fuels,27
UtdHampshReitUSD,ODBU,UNIE.SI,335.714,,,7.13,Real Estate,
V2Y Corp,V2Y,V2YC.SI,18.048,,,,Software & IT Services,70
Vallianz,WPC,VHLD.SI,26.849,223.39,,,Transportation,68
ValueMax,T6I,VAMG.SI,221.2,276.113,6.36,4.74,Banking & Investment Services,56
Valuetronics,BN2,VLUE.SI,274.447,356.505,9.63,5.25,Technology Equipment,70
