Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
Ban Leong,B26,BANL.SI,29.708,163.1,6.87,4.9,Technology Equipment,70
Banyan Tree,B58,BANY.SI,279.881,157.832,,,Cyclical Consumer Services,92
BBR,KJ5,BBRS.SI,51.304,121.595,,,Industrial & Commercial Services,78
Beng Kuang,BEZ,BENK.SI,5.265,42.667,,,Industrial & Commercial Services,75
Best World,CGN,BEST.SI,733.769,545.614,,3.99,Personal & Household Products & Services,64
Beverly JCG,VFP,BEVE.SI,15.815,5.446,,,Healthcare Services,
BH Global,BQN,BHGC.SI,93,53.219,28.89,,Industrial Goods,69
BHG Retail Reit,BMGU,BHGR.SI,291.68,60.561,,3.42,Real Estate,81.4
Biolidics,8YY,BIOL.SI,75.253,,,,Healthcare Services,
BlackGoldNatural,41H,BLAC.SI,17.29,12.821,,,Energy - Fossil Fuels,66
Blumont,A33,BLUM.SI,110.283,3.499,,,Industrial & Commercial Services,59
Boldtek,5VI,BOLD.SI,16.706,38.264,,,Real Estate,77
Bonvests,B28,BVHS.SI,409.547,120.588,,0.29,Cyclical Consumer Services,63
Boustead,F9D,BTSS.SI,500.067,724.116,12.13,3,Industrial & Commercial Services,77
Boustead Proj,AVM,BOUS.SI,339.2,357.23,31.95,0.75,Industrial & Commercial Services,85
BRC Asia,BEC,BRCA.SI,374.791,612.378,17.54,1.31,Cyclical Consumer Products,54
Broadway Ind,B69,BRWY.SI,64.652,400.673,4.55,,Industrial Goods,53
Brook Crompton,AWC,BROO.SI,22.871,,,3.1,Industrial Goods,72
Bukit Sembawang,B61,BSES.SI,1232.418,374.25,14.83,0.84,Real Estate,77
Bumitama Agri,P8Z,BUMI.SI,852.403,834.384,8.2,4.95,Food & Beverages,77
Bund Center,BTE,BCIL.SI,433.479,68.799,45.13,3.95,Real Estate,68
Camsing Hc,BAC,CAMS.SI,30.355,12.958,,,Retailers,44
Capital World,1D5,CAPI.SI,9.167,13.906,,,Real Estate,53
CapitaLand,C31,CATL.SI,19735.949,6532.572,,2.41,Real Estate,123
CapLand China T,AU8U,CAPA.SI,2101.393,210.525,,4.55,Real Estate,98.2
CapLand IntCom T,C38U,CMLT.SI,14112.432,745.209,41.47,3.31,Real Estate,110.5
Captii,AWV,CAPT.SI,12.144,,,3.29,Telecommunications Services,58
